id,name,category,created_at
70,Maida 1kg,Grains,2025-03-08 19:03:10.657
71,Suji (Semolina) 500g,Grains,2026-01-23 19:03:10.657
72,Pomegranate 500g,Fruits,2025-07-13 19:03:10.657
73,Poha 1kg,Grains,2025-07-13 19:03:10.657
74,Frooti 200ml,Beverages,2025-08-07 19:03:10.657
75,Gillette Mach3 Razor,Personal Care,2025-10-20 19:03:10.657
76,Ladyfinger 500g,Vegetables,2025-04-23 19:03:10.657
77,Sunscreen SPF50 50ml,Personal Care,2025-09-06 19:03:10.657
78,Oats 500g,Grains,2025-05-05 19:03:10.657
79,Papaya 1kg,Fruits,2025-04-28 19:03:10.657
80,Too Yumm Multigrain 60g,Snacks,2026-01-15 19:03:10.657
81,Sunflower Oil 1L,Groceries,2025-06-02 19:03:10.657
82,Yippee Noodles 4-pack,Snacks,2025-09-26 19:03:10.657
83,Tops Tomato Ketchup 1kg,Snacks,2025-08-10 19:03:10.657
84,Popcorn Butter Flavor 50g,Snacks,2025-09-17 19:03:10.657
85,Corn Flour 500g,Grains,2025-08-07 19:03:10.657
86,Cumin Seeds 100g,Groceries,2025-10-29 19:03:10.657
87,Skimmed Milk 500ml,Dairy,2025-11-07 19:03:10.657
88,Rusk Toasted 400g,Snacks,2025-03-15 19:03:10.657
89,Besan 1kg,Grains,2025-06-08 19:03:10.657
90,Rice Cakes Plain 100g,Snacks,2025-08-10 19:03:10.657
91,Bitter Gourd 500g,Vegetables,2025-11-23 19:03:10.657
92,Drumstick (Moringa) 500g,Vegetables,2025-09-08 19:03:10.657
93,Black Pepper 50g,Groceries,2025-04-23 19:03:10.657
94,Cheese Slices 200g,Dairy,2025-05-06 19:03:10.657
95,Hide & Seek Biscuits 200g,Snacks,2025-08-17 19:03:10.657
96,Real Cranberry Juice 1L,Beverages,2025-09-06 19:03:10.657
97,Cardamom 50g,Groceries,2025-11-21 19:03:10.657
98,Guava 500g,Fruits,2026-01-11 19:03:10.657
99,Face Wash 100ml,Personal Care,2025-09-20 19:03:10.657
100,Green Peas 500g,Vegetables,2025-12-26 19:03:10.657
